Nodes,Edges,bfs-time in (ms),ffa-time in (s)
928,187917,31,23
929,188630,32,22
930,188626,30,21
931,189036,27,21
932,189674,32,22
933,190081,31,20
934,190566,38,24
935,191039,46,24
936,191453,43,24
937,191615,36,25
938,192040,36,21
939,192642,32,22
940,192813,28,21
941,193539,37,20
942,193692,36,24
943,194255,35,30
944,194837,32,31
945,194904,39,27
946,195425,35,22
947,196032,39,21
948,196328,33,23
949,196498,28,22
950,197120,32,22
951,197030,37,21
952,198127,38,22
953,198461,35,21
954,198789,35,25
955,199329,36,20
956,199652,69,23
957,200223,50,23
958,200337,58,22
959,201098,49,22
960,201234,45,22
961,202014,59,23
962,202400,50,22
963,202669,85,25
964,203019,67,22
965,203421,58,24
966,203975,92,23
967,204289,96,21
968,204845,50,24
969,205131,48,26
970,205756,54,24
971,206089,42,28
972,206166,43,25
973,207172,39,22
974,207348,42,23
975,207620,37,25
976,208553,44,26
977,208452,37,28
978,209089,39,27
979,209508,35,27
980,209921,33,24
981,210431,69,25
982,210838,38,24
983,211248,44,24
984,211499,33,26
985,212087,50,25
986,212267,66,22
987,213041,58,23
988,213448,45,23
989,213995,36,26
990,214198,36,24
991,215054,41,26
992,215275,40,23
993,215688,46,24
994,215973,43,27
995,216584,41,28
996,217102,60,26
997,217569,51,23
998,217705,38,25
999,218394,35,27
1000,218697,35,25
